DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,OPENINTEREST
2015-05-13,118.34,118.58,118.09,118.53,67663,62131
2015-05-14,118.3,119.13,117.97,118.93,70475,59521
2015-05-15,119.23,119.32,118.3,118.82,68829,60784
2015-05-18,119.22,119.25,118.66,118.72,67424,59184
2015-05-19,118.31,118.67,118.26,118.49,40408,59029
2015-05-20,118.4,119.22,118.4,118.99,58710,59452
2015-05-21,119.12,119.46,118.83,118.83,63653,59260
2015-05-22,119.02,119.19,118.94,119.19,38632,59181
2015-05-26,119.01,119.54,118.95,119.08,43035,58712
2015-05-27,119.41,119.65,119.29,119.53,47603,60131
2015-05-28,119.59,119.96,119.46,119.92,36241,60664
2015-05-29,120.32,120.95,120.14,120.95,42584,62006
2015-06-01,120.88,121.15,120.48,120.58,47529,62301
2015-06-02,120.55,121.17,120.52,120.65,55710,65083
2015-06-03,120.23,120.32,119.62,119.62,60232,62205
2015-06-04,118.92,119.52,118.84,119.12,65626,63925
2015-06-05,119.62,119.69,119.11,119.33,58351,63143
2015-06-08,119.17,119.3,118.89,119.19,43098,65275
2015-06-09,119.33,119.73,119.29,119.73,48942,63294
2015-06-10,119.62,119.75,119.26,119.52,47712,62770
2015-06-11,119.52,119.61,118.52,118.79,57844,64562
2015-06-12,119.22,119.64,119.14,119.59,41953,50602
2015-06-15,119.8,119.94,119.09,119.19,44546,24821
2015-06-16,119.18,119.31,118.8,119.14,39781,62409
2015-06-17,119.13,119.26,118.55,118.57,43287,62762
2015-06-18,118.87,119.2,118.69,119.08,35286,63156
2015-06-19,119.29,119.87,119.23,119.78,47246,64112
2015-06-22,119.97,119.98,118.79,119.16,65840,65036
2015-06-23,118.68,119.51,118.68,119.45,57386,64892
2015-06-24,119.47,119.63,119.2,119.57,46618,64111
2015-06-25,119.73,119.73,119.14,119.28,54269,62812
2015-06-26,119.28,119.57,119.17,119.23,40653,61239
2015-06-29,119.78,120.08,119.6,119.74,37787,60381
2015-06-30,119.78,119.89,119.56,119.69,40268,60348
2015-07-01,119.55,119.71,119.31,119.45,32316,59993
2015-07-02,119.14,119.27,118.81,118.84,36317,61124
2015-07-03,119.2,119.26,118.9,118.98,37848,61328
2015-07-06,119.58,119.68,119.25,119.58,42030,60742
2015-07-07,119.58,119.67,119.21,119.23,42874,62041
2015-07-08,119.43,119.64,119.27,119.53,44233,64301
2015-07-09,119.71,119.86,119.31,119.32,45484,64477
2015-07-10,118.98,119.23,118.94,119.19,32775,62629
2015-07-13,118.99,119.19,118.84,119.19,36557,63229
2015-07-14,119.03,119.23,119.01,119.23,29607,63834
2015-07-15,119.37,119.43,119.06,119.37,29863,63882
