,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2019-08-16 06:30:00+00:00,0.0004492217620681601,0.0008320000000008321,0.00012703448221415613,0.01786690975387417,0.009970623758047439,0.04247792487275489,0.0,9872.36,135.96,135.96,0.0,0.013584697531653665,135.96,135.96,1,-0.0001469751611978057,0.013584697531653665,0.013584697531653665,[],2019-08-16 06:30:00+00:00,2019-08,2019-08-16 00:01:00+00:00,0.6199999999989814,10008.32,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 135.96, 'amount': 1}]",135.96,6.195229673133795e-05,3.0101222987791325,0.0,0.0,0,5.852952788690808,9872.36,135.34,135.34,155,[],0.0
2019-08-19 06:30:00+00:00,0.0004482526537111626,0.0008210000000010709,0.00012022764271279076,0.01768459434822245,0.0099454100621565,0.042496558765892596,0.0,9872.36,135.85,135.85,0.0,0.013573855864335379,135.85,135.85,1,-0.0001469751611978057,0.013584697531653665,0.013573855864335379,[],2019-08-19 06:30:00+00:00,2019-08,2019-08-19 00:01:00+00:00,-0.10999999999876309,10008.210000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 135.85, 'amount': 1}]",135.85,-1.0990855607850847e-05,2.9576845660177122,0.0,0.0,0,5.74650428195001,9872.36,135.96,135.96,156,[],0.0
2019-08-20 06:30:00+00:00,0.0004481447305343573,0.0007990000000008823,0.00011387122134788878,0.01722880583409303,0.009938877558377322,0.04252775973545553,0.0,9872.36,135.63,135.63,0.0,0.013552171814720038,135.63,135.63,1,-0.0001469751611978057,0.013584697531653665,0.013552171814720038,[],2019-08-20 06:30:00+00:00,2019-08,2019-08-20 00:01:00+00:00,-0.22000000000116415,10007.99,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 135.63, 'amount': 1}]",135.63,-2.1981952816885197e-05,2.8608219883823867,0.0,0.0,0,5.534322193899427,9872.36,135.85,135.85,157,[],0.0
2019-08-21 06:30:00+00:00,0.0004622253898574178,0.0007100000000008766,9.205878304773911e-05,0.015314494074749163,0.010221246672157439,0.04281188884858329,0.0,9872.36,134.74,134.74,0.0,0.013464440247424329,134.74,134.74,1,-0.0001469751611978057,0.013584697531653665,0.013464440247424329,[],2019-08-21 06:30:00+00:00,2019-08,2019-08-21 00:01:00+00:00,-0.8899999999994179,10007.1,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 134.74, 'amount': 1}]",134.74,-8.892894577228194e-05,2.449263855883028,0.0,0.0,0,4.408795586889665,9872.36,135.63,135.63,158,[],0.0
2019-08-22 06:30:00+00:00,0.0004664048945551321,0.0007720000000008831,0.00010085725177969722,0.016590701914311667,0.010293072779177742,0.04294692312089491,0.0,9872.36,135.36,135.36,0.0,0.01352555826901632,135.36,135.36,1,-0.0001469751611978057,0.013584697531653665,0.01352555826901632,[],2019-08-22 06:30:00+00:00,2019-08,2019-08-22 00:01:00+00:00,0.6200000000008004,10007.720000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 135.36, 'amount': 1}]",135.36,6.195601123204497e-05,2.6225843402166777,0.0,0.0,0,4.778517424471746,9872.36,134.74,134.74,159,[],0.0
2019-08-23 06:30:00+00:00,0.0004671052962485517,0.0007410000000007688,0.0001224565517217062,0.015587967183226858,0.01035145001108052,0.04277091066606186,0.0,9872.36,135.05,135.05,0.0,0.01349500020484821,135.05,135.05,1,-0.0001469751611978057,0.013584697531653665,0.01349500020484821,[],2019-08-23 06:30:00+00:00,2019-08,2019-08-23 00:01:00+00:00,-0.3100000000013097,10007.41,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 135.05, 'amount': 1}]",135.05,-3.097608646140948e-05,2.4978392072951543,0.0,0.0,0,4.520215283172802,9872.36,135.36,135.36,160,[],0.0
2019-08-26 06:30:00+00:00,0.00047342229449811766,0.0008140000000009806,0.0001298086563600146,0.017137648131267058,0.010472778040323833,0.04291766152737367,0.0,9872.36,135.78,135.78,0.0,0.013566956497411105,135.78,135.78,1,-0.0001469751611978057,0.013584697531653665,0.013566956497411105,[],2019-08-26 06:30:00+00:00,2019-08,2019-08-26 00:01:00+00:00,0.7300000000013824,10008.140000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 135.78, 'amount': 1}]",135.78,7.294594705342661e-05,2.690374500492177,0.0,0.0,0,4.949875097131572,9872.36,135.05,135.05,161,[],0.0
2019-08-27 06:30:00+00:00,0.0004808891434016436,0.0007450000000008838,0.00014598611904694433,0.015314494074749163,0.010705268291150894,0.04272524318197637,0.0,9872.36,135.09,135.09,0.0,0.013498943287250997,135.09,135.09,1,-0.0001469751611978057,0.013584697531653665,0.013498943287250997,[],2019-08-27 06:30:00+00:00,2019-08,2019-08-27 00:01:00+00:00,-0.6900000000005093,10007.45,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 135.09, 'amount': 1}]",135.09,-6.894387968203741e-05,2.4092350753110905,0.0,0.0,0,4.2823072613730835,9872.36,135.78,135.78,162,[],0.0
2019-08-28 06:30:00+00:00,0.00047957669836344217,0.0007600000000009821,0.0001562160728852863,0.015496809480401108,0.010672705894966982,0.04273306345610384,0.0,9872.36,135.24,135.24,0.0,0.013513729565530198,135.24,135.24,1,-0.0001469751611978057,0.013584697531653665,0.013513729565530198,[],2019-08-28 06:30:00+00:00,2019-08,2019-08-28 00:01:00+00:00,0.1499999999996362,10007.6,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 135.24, 'amount': 1}]",135.24,1.4988833319184991e-05,2.4493268622455155,0.0,0.0,0,4.3550664850964225,9872.36,135.09,135.09,163,[],0.0
2019-08-29 06:30:00+00:00,0.0004784482792935804,0.0007500000000009166,0.00013399255310419676,0.01558796718322708,0.01063991883414665,0.04273400589990201,0.0,9872.36,135.14000000000001,135.14000000000001,0.0,0.013503872095928056,135.14000000000001,135.14000000000001,1,-0.0001469751611978057,0.013584697531653665,0.013503872095928056,[],2019-08-29 06:30:00+00:00,2019-08,2019-08-29 00:01:00+00:00,-0.1000000000003638,10007.5,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 135.14000000000001, 'amount': 1}]",135.14000000000001,-9.992405771708235e-06,2.4080418210703978,0.0,0.0,0,4.280128711526802,9872.36,135.24,135.24,164,[],0.0
2019-08-30 06:30:00+00:00,0.0004822573469658621,0.0006970000000010579,0.00012002685900276374,0.014494074749316521,0.010705799820309624,0.0428505239408248,0.0,9872.36,134.61,134.61,0.0,0.01345162421792011,134.61,134.61,1,-0.0001469751611978057,0.013584697531653665,0.01345162421792011,[],2019-08-30 06:30:00+00:00,2019-08,2019-08-30 00:01:00+00:00,-0.5299999999988358,10006.970000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 134.61, 'amount': 1}]",134.61,-5.2960279790070786e-05,2.2068219697277103,0.0,0.0,0,3.852809820637293,9872.36,135.14000000000001,135.14000000000001,165,[],0.0
2019-09-02 06:30:00+00:00,0.0004854073174492613,0.0006470000000009524,0.00011931180752750946,0.01330902461257999,0.010784834734885238,0.04285686488493747,0.0,9872.36,134.11,134.11,0.0,0.013402328693335411,134.11,134.11,1,-0.00018484620795486997,0.013584697531653665,0.013402328693335411,[],2019-09-02 06:30:00+00:00,2019-09,2019-09-02 00:01:00+00:00,-0.5,10006.470000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 134.11, 'amount': 1}]",134.11,-4.996517427369174e-05,2.0230312671093036,0.0,0.0,0,3.479876609151619,9872.36,134.61,134.61,166,[],0.0
2019-09-03 06:30:00+00:00,0.00048434650310047683,0.0006670000000008613,0.00013090201756161244,0.013582497721057685,0.010754834141132737,0.042876564535743365,0.0,9872.36,134.31,134.31,0.0,0.013422047494321288,134.31,134.31,1,-0.00018484620795486997,0.013584697531653665,0.013422047494321288,[],2019-09-03 06:30:00+00:00,2019-09,2019-09-03 00:01:00+00:00,0.1999999999989086,10006.67,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 134.31, 'amount': 1}]",134.31,1.9987068366589256e-05,2.0775913452135613,0.0,0.0,0,3.576641557082257,9872.36,134.11,134.11,167,[],0.0
2019-09-04 06:30:00+00:00,0.00048357745033799683,0.0006500000000009276,0.00012754066925291731,0.013217866909754239,0.010736165472839706,0.042888515179458304,0.0,9872.36,134.14000000000001,134.14000000000001,0.0,0.013405286563733574,134.14000000000001,134.14000000000001,1,-0.00018484620795486997,0.013584697531653665,0.013405286563733574,[],2019-09-04 06:30:00+00:00,2019-09,2019-09-04 00:01:00+00:00,-0.17000000000007276,10006.5,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 134.14000000000001, 'amount': 1}]",134.14000000000001,-1.6988668558037823e-05,2.0158123018442615,0.0,0.0,0,3.465614000512047,9872.36,134.31,134.31,168,[],0.0
2019-09-05 06:30:00+00:00,0.00048411915829895904,0.0006180000000008956,0.00012482128462606312,0.012488605287147125,0.010748443390344604,0.04290516659476969,0.0,9872.36,133.82,133.82,0.0,0.013373735031750378,133.82,133.82,1,-0.0002138221000127878,0.013584697531653665,0.013373735031750378,[],2019-09-05 06:30:00+00:00,2019-09,2019-09-05 00:01:00+00:00,-0.31999999999970896,10006.18,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 133.82, 'amount': 1}]",133.82,-3.1979213511279525e-05,1.903143721818756,0.0,0.0,0,3.2539184005696082,9872.36,134.14000000000001,134.14000000000001,169,[],0.0
2019-09-06 06:30:00+00:00,0.0004836933471297416,0.0005960000000009291,0.00010780257870468588,0.012215132178669652,0.010724766322548263,0.042953427266457234,0.0,9872.36,133.6,133.6,0.0,0.013352042182859014,133.6,133.6,1,-0.00023580381122907562,0.013584697531653665,0.013352042182859014,[],2019-09-06 06:30:00+00:00,2019-09,2019-09-06 00:01:00+00:00,-0.21999999999934516,10005.960000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 133.6, 'amount': 1}]",133.6,-2.1986412397145827e-05,1.8262335481547838,0.0,0.0,0,3.1149191784869315,9872.36,133.82,133.82,170,[],0.0
2019-09-09 06:30:00+00:00,0.00048311011635812694,0.0006230000000011504,0.0001123562797583627,0.01276207839562482,0.010708303162581152,0.04297358479596823,0.0,9872.36,133.87,133.87,0.0,0.013378665091647902,133.87,133.87,1,-0.00023580381122907562,0.013584697531653665,0.013378665091647902,[],2019-09-09 06:30:00+00:00,2019-09,2019-09-09 00:01:00+00:00,0.27000000000043656,10006.230000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 133.87, 'amount': 1}]",133.87,2.698391758526597e-05,1.9000576601417918,0.0,0.0,0,3.246436098603419,9872.36,133.6,133.6,171,[],0.0
2019-09-10 06:30:00+00:00,0.0004818675231672656,0.0006160000000010601,0.00010698102943803846,0.01267092069279907,0.010678800591085728,0.042981132511464654,0.0,9872.36,133.8,133.8,0.0,0.0133717629939957,133.8,133.8,1,-0.00023580381122907562,0.013584697531653665,0.0133717629939957,[],2019-09-10 06:30:00+00:00,2019-09,2019-09-10 00:01:00+00:00,-0.07000000000152795,10006.16,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 133.8, 'amount': 1}]",133.8,-6.995641715246137e-06,1.8726117903009893,0.0,0.0,0,3.199187749785905,9872.36,133.87,133.87,172,[],0.0
2019-09-11 06:30:00+00:00,0.0004838804843568219,0.0005720000000011272,9.117879125044863e-05,0.011850501367365984,0.01070098217730927,0.04308876549760245,0.0,9872.36,133.36,133.36,0.0,0.013328376168831427,133.36,133.36,1,-0.00025978385982844285,0.013584697531653665,0.013328376168831427,[],2019-09-11 06:30:00+00:00,2019-09,2019-09-11 00:01:00+00:00,-0.4399999999986903,10005.720000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 133.36, 'amount': 1}]",133.36,-4.397291268576353e-05,1.7216686820131384,0.0,0.0,0,2.9108024239057277,9872.36,133.8,133.8,173,[],0.0
