Date,Open,High,Low,Close,Volume,OpenInt
2012-12-24,108.12,108.28,107.9,107.9,63887,34403
2012-12-26,107.95,107.95,107.51,107.62,61663,36234
2012-12-27,107.66,107.96,107.65,107.9,64646,36817
2012-12-28,107.89,108.65,107.88,108.37,47477,38481
2013-01-02,108.19,108.22,107.84,108.11,51423,40925
2013-01-03,107.89,109.03,107.87,108.61,68681,40678
2013-01-04,108.52,108.9,108.06,108.66,56116,44854
2013-01-07,108.56,108.98,108.56,108.98,59717,42259
2013-01-08,108.98,109.57,108.98,109.51,60720,40345
2013-01-09,109.51,109.62,109.36,109.44,65032,38039
2013-01-10,109.45,109.8,109.45,109.74,47516,39328
2013-01-11,109.5,109.95,109.08,109.6,62244,39464
2013-01-14,109.47,109.79,109.45,109.59,52046,40075
2013-01-15,109.67,109.87,109.62,109.85,45425,40575
2013-01-16,109.79,109.87,109.65,109.75,44106,41547
2013-01-17,109.65,110.28,109.65,109.98,57429,42392
2013-01-18,109.8,109.91,109.67,109.74,44737,44191
2013-01-21,109.86,109.92,109.69,109.74,48587,44224
2013-01-22,109.64,109.94,109.64,109.79,51068,45547
2013-01-23,109.75,109.92,109.63,109.9,38990,46841
2013-01-24,110,110.06,109.88,109.96,45099,47089
2013-01-25,109.9,110.1,109.85,110.08,44005,47549
2013-01-28,109.85,109.97,109.67,109.67,61339,49323
2013-01-29,109.75,109.76,109.28,109.58,84333,48707
2013-01-30,109.19,109.26,108.98,109.03,69640,48556
2013-01-31,109.05,109.23,108.89,109.07,64711,49681
2013-02-01,109.08,109.12,108.79,108.85,67250,52104
2013-02-04,108.71,109.04,108.5,109.04,59202,54401
2013-02-05,109.18,109.38,109.15,109.3,63415,52738
2013-02-06,109.2,109.42,109.1,109.41,81286,53958
2013-02-07,109.55,109.67,109.45,109.45,64607,53829
2013-02-08,109.55,109.57,109.42,109.51,53790,53842
2013-02-12,109.62,109.72,109.56,109.7,43969,54034
